"arena_name","city_name"
"State Farm Arena",18729
"TD Garden",18624
"Smoothie King Center",12345
"United Center",21711
"American Airlines Center",19200
"Pepsi Center",19099
"Toyota Center",18104
"Staples Center",19060
"AmericanAirlines Arena",19600
"Fiserv Forum",17500
"Target Center",19356
"Barclays Center",23456
"Madison Square Garden",19763
"Amway Center",12435
"Bankers Life Fieldhouse",18345
"Wells Fargo Center",14567
"Talking Stick Resort Arena",16789
"Moda Center",19980
"Golden 1 Center",17500
"AT&T Center",18694
"Chesapeake Energy Arena",19163
"Scotiabank Arena",19800
"Vivint Smart Home Arena",20148
"FedExForum",18119
"Capital One Arena",20647
"Little Caesars Arena",21000
"Spectrum Center",19026
"Quicken Loans Arena",20562
"Chase Center",19596
