"coach_id","coach_name"
1,"Lloyd Pierce"
2,"Brad Stevens"
3,"Alvin Gentry"
4,"Jim Boylen"
5,"Rick Carlisle"
6,"Michael Malone"
7,"Mike D'Antoni"
8,"Doc Rivers"
9,"Frank Vogel"
10,"Erik Spoelstra"
11,"Mike Budenholzer"
12,"Ryan Saunders"
13,"Kenny Atkinson"
14,"David Fizdale"
15,"Steve Clifford"
16,"Nate McMillan"
17,"Brett Brown"
18,"Monty Williams"
19,"Terry Stotts"
20,"Luke Walton"
21,"Gregg Popovich"
22,"Billy Donovan"
23,"Nick Nurse"
24,"Quin Snyder"
25,"Taylor Jenkins"
26,"Scott Brooks"
27,"Dwane Casey"
28,"James Borrego"
29,"John Beilein"
30,"Steve Kerr"
