"manager_id","manager_name"
1,"Travis Schlenk"
2,"Danny Ainge"
3,"Trajan Langdon"
4,"Gar Forman"
5,"Donnie Nelson"
6,"Tim Connelly"
7,"Daryl Morey"
8,"Michael Winger"
9,"Rob Pelinka"
10,"Pat Riley"
11,"Jon Horst"
12,"Scott Layden"
13,"Sean Marks"
14,"Steve Mills"
15,"John Hammond"
16,"Kevin Pritchard"
17,"Elton Brand"
18,"James Jones"
19,"Neil Olshey"
20,"Vlade Divac"
21,"Brian Wright"
22,"Sam Presti"
23,"Masai Ujiri"
24,"Dennis Lindsey"
25,"Zach Kleiman"
26,"Tommy Sheppard"
27,"Ed Stefanski"
28,"Mitch Kupchak"
29,"Koby Altman"
30,"Bob Myers"
