"owner_id","owner_name","coach_id","manager_id"
1,"Tony Ressler",1,1
2,"Wyc Grousbeck",2,2
3,"Tom Benson",3,3
4,"Jerry Reinsdorf",4,4
5,"Mark Cuban",5,5
6,"Stan Kroenke",6,6
7,"Tilman Fertitta",7,7
8,"Steve Ballmer",8,8
9,"Jerry Buss Family Trust",9,9
10,"Micky Arison",10,10
11,"Wesley Edens & Marc Lasry",11,11
12,"Glen Taylor",12,12
13,"Joe Tsai",13,13
14,"Cablevision (James Dolan)",14,14
15,"Rick DeVos",15,15
16,"Herb Simon",16,16
17,"Joshua Harris",17,17
18,"Robert Sarver",18,18
19,"Paul Allen",19,19
20,"Vivek Ranadive",20,20
21,"Peter Holt",21,21
22,"Clay Bennett",22,22
23,"Maple Leaf Sports and Entertainment",23,23
24,"Greg Miller",24,24
25,"Robert Pera",25,25
26,"Ted Leonsis",26,26
27,"Tom Gores",27,27
28,"Michael Jordan",28,28
29,"Dan Gilbert",29,29
30,"Joe Lacob",30,30
