"player_id","season","position","game","game_started","minutes_played","field_goal","field_goal_attempts","personal_fouls","turnovers","three_point","three_point_attempts","blocks","steals","free_throws_attempts","assists","total_rebounds","two_point_attempts","defensive_rebounds","free_throws","offensive_rebounds","three_point_percentage","two_point_percentage","player_score"
332,2018,"PG",78,78,2867,843,1909,244,387,378,1028,58,158,858,586,518,881,452,754,66,0.368,0.528,2818
303,2018,"SF",77,77,2841,707,1614,214,205,292,757,34,170,540,318,628,857,523,453,105,0.386,0.484,2159
317,2018,"PG",82,82,2863,731,1684,131,211,260,731,34,102,450,484,361,953,309,380,52,0.356,0.494,2102
291,2018,"SG",82,82,3028,764,1609,226,224,209,596,58,121,448,448,411,1013,322,362,89,0.351,0.548,2099
362,2018,"PG",80,80,2838,681,1533,148,212,237,643,34,88,513,551,371,890,303,468,68,0.369,0.499,2067
485,2018,"SF",78,78,2702,721,1383,155,225,137,388,84,58,506,457,497,995,464,448,33,0.353,0.587,2027
39,2018,"PF",72,72,2358,721,1247,232,268,52,203,110,92,686,424,898,1044,739,500,159,0.256,0.641,1994
463,2018,"PG",69,69,2331,632,1340,166,192,354,810,25,92,287,361,369,530,324,263,45,0.437,0.525,1881
176,2018,"C",77,77,2545,681,1314,292,240,142,355,125,67,450,259,954,959,691,376,263,0.4,0.562,1880
226,2018,"PF",75,75,2622,619,1341,199,253,189,522,28,52,550,402,565,819,465,414,100,0.362,0.525,1841
4,2018,"SG",77,77,2598,661,1530,208,218,188,519,31,106,396,322,316,1011,257,319,59,0.362,0.468,1829
16,2018,"C",64,64,2154,580,1199,211,226,79,263,122,46,649,234,871,936,711,522,160,0.3,0.535,1761
373,2018,"C",81,81,2687,684,1319,179,144,10,42,107,43,412,194,744,1277,493,349,251,0.238,0.528,1727
392,2018,"PG",81,81,2448,659,1517,141,253,234,635,20,100,205,563,315,882,262,160,53,0.369,0.482,1712
80,2018,"SG",64,64,2242,586,1255,200,264,135,414,13,56,454,433,265,841,226,393,39,0.326,0.536,1700
67,2018,"SG",82,82,2615,623,1360,202,146,278,651,33,58,193,205,412,709,306,171,106,0.427,0.487,1695
523,2018,"SG",78,78,2652,655,1402,157,115,241,599,47,84,158,186,299,803,262,129,37,0.402,0.516,1680
333,2018,"PG",73,73,2630,630,1473,245,325,119,411,33,142,451,784,807,1062,698,296,109,0.29,0.481,1675
420,2018,"C",80,80,2510,701,1354,157,159,84,231,89,81,227,307,960,1123,736,179,224,0.364,0.549,1665
14,2018,"PF",82,82,2847,611,1254,184,151,156,393,37,51,307,229,645,861,576,266,69,0.397,0.528,1644
212,2018,"SG",77,77,2688,631,1313,177,199,7,45,36,86,441,475,462,1268,408,366,54,0.156,0.492,1635
343,2018,"C",80,80,2504,616,1206,228,248,83,270,55,108,352,580,865,936,637,289,228,0.307,0.569,1604
433,2018,"PG",67,67,2214,604,1241,167,172,174,434,34,103,245,464,335,807,264,214,71,0.401,0.533,1596
300,2018,"SF",60,60,2040,560,1129,87,121,112,302,24,106,426,199,439,827,361,364,78,0.371,0.542,1596
27,2018,"PF",73,49,2232,571,1089,246,208,67,195,45,52,487,229,634,894,472,356,162,0.344,0.564,1565
141,2018,"PG",81,81,2503,525,1256,140,308,156,482,15,72,414,653,301,774,237,343,64,0.324,0.477,1549
191,2018,"SG",72,72,2318,506,1186,137,247,168,514,25,77,485,429,563,672,477,346,86,0.327,0.503,1526
200,2018,"SF",55,55,1937,558,1095,94,197,111,327,33,72,418,454,465,768,408,278,57,0.339,0.582,1505
305,2018,"SG",75,1,1993,484,1138,80,181,105,291,11,57,485,402,222,847,182,425,40,0.361,0.447,1498
54,2018,"SG",63,62,2171,530,1135,140,215,120,321,26,60,375,283,294,814,254,312,40,0.374,0.504,1492
5,2018,"PG",70,70,2342,490,1120,123,130,155,426,22,94,406,449,239,694,199,343,40,0.364,0.483,1478
361,2018,"SG",70,70,2375,571,1243,172,106,167,445,28,55,192,207,282,798,220,159,62,0.375,0.506,1468
2,2018,"SF",81,81,2573,522,1051,138,134,164,386,1,69,305,161,333,665,300,246,33,0.425,0.538,1454
201,2018,"C",56,56,1850,530,1026,132,112,48,145,135,88,433,218,672,881,498,344,174,0.331,0.547,1452
250,2018,"SG",67,67,2402,547,1159,148,210,118,363,54,109,271,518,334,796,259,208,75,0.325,0.539,1420
38,2018,"SF",77,77,2393,506,1148,172,174,179,474,7,80,258,331,461,674,411,216,50,0.378,0.485,1407
454,2018,"PG",81,81,2546,505,1102,204,227,86,232,45,133,417,590,304,870,261,303,43,0.371,0.482,1399
0,2018,"SG",76,63,2379,452,1027,129,101,240,605,17,32,255,206,186,422,166,228,20,0.397,0.502,1372
378,2018,"PG",82,72,2605,519,1206,186,185,119,296,6,44,255,243,236,910,179,214,57,0.402,0.44,1371
227,2018,"C",79,79,2647,561,1052,272,175,5,38,138,136,412,112,1232,1014,809,243,423,0.132,0.548,1370
345,2018,"PG",75,74,2447,513,1173,153,158,152,414,27,67,223,363,317,759,252,189,65,0.367,0.476,1367
382,2018,"SG",81,0,2214,529,1180,112,135,144,445,13,57,192,196,270,735,188,162,82,0.324,0.524,1364
306,2018,"C",82,5,2158,546,888,255,132,3,17,110,71,414,162,535,871,351,266,184,0.176,0.623,1361
276,2018,"PF",80,79,2548,519,945,241,154,79,214,52,73,302,248,549,731,425,237,124,0.369,0.602,1354
239,2018,"SF",68,68,2059,409,884,129,99,161,372,23,49,406,178,417,512,363,367,54,0.433,0.484,1346
18,2018,"PG",79,79,2700,540,960,209,274,0,6,61,112,428,610,697,954,525,257,172,0,0.566,1337
178,2018,"SF",73,73,2543,498,1209,153,138,118,348,48,70,296,184,352,861,269,207,83,0.339,0.441,1321
205,2018,"PF",70,68,2314,496,1087,170,133,128,422,26,41,250,178,382,665,322,188,60,0.303,0.553,1308
3,2018,"C",81,80,2577,476,712,231,130,0,0,187,66,522,161,1041,712,732,332,309,0,0.669,1284
64,2018,"PF-SF",77,77,2533,431,1027,122,98,174,441,13,50,278,115,361,586,304,229,57,0.395,0.439,1265
473,2018,"PG",82,82,2289,441,1047,208,148,174,471,9,55,236,344,216,576,171,204,45,0.369,0.464,1260
264,2018,"PF",78,78,2633,470,1046,172,162,121,347,56,57,253,289,574,699,445,185,129,0.349,0.499,1246
314,2018,"SF",79,79,2455,466,1036,168,122,116,311,57,84,228,168,477,725,407,195,70,0.373,0.483,1243
42,2018,"PG",78,78,2272,470,971,156,165,124,377,29,116,236,430,362,594,280,177,82,0.329,0.582,1241
266,2018,"SG",81,81,2553,468,1069,225,154,153,450,12,71,170,295,258,619,220,137,38,0.34,0.509,1226
244,2018,"PG",79,14,2314,457,1104,189,172,124,364,12,65,227,323,284,740,246,186,38,0.341,0.45,1224
271,2018,"SG",81,0,2150,440,1027,119,90,217,566,29,72,144,135,280,461,253,126,27,0.383,0.484,1223
150,2018,"SF-SG",65,65,2185,418,904,111,95,67,193,39,123,365,263,342,711,221,312,121,0.347,0.494,1215
