"team_id","owner_id","arena_name","city_id"
1610612737,"Tony Ressler","State Farm Arena",1
1610612738,"Wyc Grousbeck","TD Garden",2
1610612740,"Tom Benson","Smoothie King Center",3
1610612741,"Jerry Reinsdorf","United Center",4
1610612742,"Mark Cuban","American Airlines Center",5
1610612743,"Stan Kroenke","Pepsi Center",6
1610612745,"Tilman Fertitta","Toyota Center",7
1610612746,"Steve Ballmer","Staples Center",8
1610612747,"Jerry Buss Family Trust","Staples Center",8
1610612748,"Micky Arison","AmericanAirlines Arena",9
1610612749,"Wesley Edens & Marc Lasry","Fiserv Forum",10
1610612750,"Glen Taylor","Target Center",11
1610612751,"Joe Tsai","Barclays Center",12
1610612752,"Cablevision (James Dolan)","Madison Square Garden",13
1610612753,"Rick DeVos","Amway Center",14
1610612754,"Herb Simon","Bankers Life Fieldhouse",15
1610612755,"Joshua Harris","Wells Fargo Center",16
1610612756,"Robert Sarver","Talking Stick Resort Arena",17
1610612757,"Paul Allen","Moda Center",18
1610612758,"Vivek Ranadive","Golden 1 Center",19
1610612759,"Peter Holt","AT&T Center",20
1610612760,"Clay Bennett","Chesapeake Energy Arena",21
1610612761,"Maple Leaf Sports and Entertainment","Scotiabank Arena",22
1610612762,"Greg Miller","Vivint Smart Home Arena",23
1610612763,"Robert Pera","FedExForum",24
1610612764,"Ted Leonsis","Capital One Arena",25
1610612765,"Tom Gores","Little Caesars Arena",26
1610612766,"Michael Jordan","Spectrum Center",27
1610612739,"Dan Gilbert","Quicken Loans Arena",28
1610612744,"Joe Lacob","Chase Center",29
