TEAM_ID,SEASON_ID,TEAM,G,W,L,HOME_RECORD,ROAD_RECORD
1610612737,2019,Atlanta,5,1,4,0-2,0-0
1610612737,2018,Atlanta,5,2,3,2-0,0-3
1610612738,2019,Boston,3,1,2,0-1,0-1
1610612738,2018,Boston,4,1,3,2-0,0-2
1610612751,2019,Brooklyn,3,1,2,0-2,1-0
1610612751,2018,Brooklyn,4,2,2,0-1,1-0
1610612766,2019,Charlotte,5,1,4,0-3,0-2
1610612766,2018,Charlotte,5,4,1,3-0,0-3
1610612741,2019,Chicago,5,2,3,0-1,0-2
1610612741,2018,Chicago,4,2,2,2-0,0-2
1610612739,2019,Cleveland,4,1,3,2-0,0-2
1610612739,2018,Cleveland,4,2,2,0-1,1-0
1610612742,2019,Dallas,3,2,1,0-1,2-0
1610612742,2018,Dallas,4,2,2,0-1,1-0
1610612743,2019,Denver,3,1,2,2-0,0-1
1610612743,2018,Denver,5,4,1,1-0,0-1
1610612765,2019,Detroit,5,3,2,1-0,2-0
1610612765,2018,Detroit,5,2,3,0-2,0-2
1610612744,2019,Golden State,5,2,3,3-0,0-2
1610612744,2018,Golden State,5,1,4,2-0,0-1
1610612745,2019,Houston,3,2,1,1-0,0-3
1610612745,2018,Houston,5,4,1,0-1,2-0
1610612754,2019,Indiana,3,2,1,0-1,1-0
1610612754,2018,Indiana,4,2,2,0-0,1-0
1610612747,2019,L.A. Lakers,3,2,1,4-0,1-0
1610612747,2018,L.A. Lakers,6,3,3,2-0,1-0
1610612746,2019,LA Clippers,3,2,1,2-0,1-0
1610612746,2018,LA Clippers,5,5,0,4-0,1-0
1610612763,2019,Memphis,3,1,2,0-1,1-0
1610612763,2018,Memphis,5,2,3,1-0,1-0
1610612748,2019,Miami,3,1,2,1-0,0-1
1610612748,2018,Miami,6,3,3,3-0,0-3
1610612749,2019,Milwaukee,3,2,1,2-0,1-0
1610612749,2018,Milwaukee,4,3,1,2-0,0-1
1610612750,2019,Minnesota,5,2,3,1-0,1-0
1610612750,2018,Minnesota,5,1,4,0-2,1-0
1610612740,2019,New Orleans,3,3,0,1-0,2-0
1610612740,2018,New Orleans,5,0,5,0-1,0-4
1610612752,2019,New York,4,1,3,0-3,1-0
1610612752,2018,New York,5,3,2,2-0,2-0
1610612760,2019,Oklahoma City,3,3,0,1-0,2-0
1610612760,2018,Oklahoma City,4,3,1,2-0,1-0
1610612753,2019,Orlando,3,1,2,0-1,1-0
1610612753,2018,Orlando,5,2,3,2-0,0-2
1610612755,2019,Philadelphia,3,1,2,2-0,0-1
1610612755,2018,Philadelphia,4,3,1,0-2,1-0
1610612756,2019,Phoenix,3,2,1,2-0,1-0
1610612756,2018,Phoenix,5,2,3,2-0,1-0
1610612757,2019,Portland,3,0,3,0-1,0-2
1610612757,2018,Portland,5,3,2,0-2,0-1
1610612758,2019,Sacramento,3,1,2,2-0,1-0
1610612758,2018,Sacramento,6,2,4,0-2,0-1
1610612759,2019,San Antonio,3,1,2,2-0,1-0
1610612759,2018,San Antonio,5,3,2,2-0,2-0
1610612761,2019,Toronto,3,2,1,2-0,0-1
1610612761,2018,Toronto,5,4,1,3-0,2-0
1610612762,2019,Utah,3,2,1,0-2,1-0
1610612762,2018,Utah,5,5,0,2-0,2-0
1610612764,2019,Washington,3,0,3,0-1,0-2
1610612764,2018,Washington,5,4,1,2-0,2-0
